experiment,threads,N,K,D,iters,run,elapsed
strong_O3_v1,1,500000,8,40,150,1,3.419938
strong_O3_v1,1,500000,8,40,150,2,3.428566
strong_O3_v1,1,500000,8,40,150,3,3.415580
strong_O3_v1,1,500000,8,40,150,4,3.432143
strong_O3_v1,1,500000,8,40,150,5,3.420042
strong_O3_v1,2,500000,8,40,150,1,1.840910
strong_O3_v1,2,500000,8,40,150,2,1.886316
strong_O3_v1,2,500000,8,40,150,3,1.979563
strong_O3_v1,2,500000,8,40,150,4,1.897216
strong_O3_v1,2,500000,8,40,150,5,1.877228
strong_O3_v1,4,500000,8,40,150,1,1.102907
strong_O3_v1,4,500000,8,40,150,2,1.228132
strong_O3_v1,4,500000,8,40,150,3,1.130975
strong_O3_v1,4,500000,8,40,150,4,1.109004
strong_O3_v1,4,500000,8,40,150,5,1.065730
strong_O3_v1,6,500000,8,40,150,1,0.898416
strong_O3_v1,6,500000,8,40,150,2,0.906850
strong_O3_v1,6,500000,8,40,150,3,0.929575
strong_O3_v1,6,500000,8,40,150,4,0.836835
strong_O3_v1,6,500000,8,40,150,5,0.963647
strong_O3_v1,8,500000,8,40,150,1,0.775261
strong_O3_v1,8,500000,8,40,150,2,0.764605
strong_O3_v1,8,500000,8,40,150,3,0.773464
strong_O3_v1,8,500000,8,40,150,4,0.782423
strong_O3_v1,8,500000,8,40,150,5,0.774711
strong_O3_v1,10,500000,8,40,150,1,0.629982
strong_O3_v1,10,500000,8,40,150,2,0.625101
strong_O3_v1,10,500000,8,40,150,3,0.637663
strong_O3_v1,10,500000,8,40,150,4,0.590021
strong_O3_v1,10,500000,8,40,150,5,0.631320
strong_O3_v1,12,500000,8,40,150,1,0.532705
strong_O3_v1,12,500000,8,40,150,2,0.544895
strong_O3_v1,12,500000,8,40,150,3,0.524158
strong_O3_v1,12,500000,8,40,150,4,0.513948
strong_O3_v1,12,500000,8,40,150,5,0.527814
strong_O3_v1,14,500000,8,40,150,1,0.460677
strong_O3_v1,14,500000,8,40,150,2,0.474858
strong_O3_v1,14,500000,8,40,150,3,0.456236
strong_O3_v1,14,500000,8,40,150,4,0.466337
strong_O3_v1,14,500000,8,40,150,5,0.459542
strong_O3_v1,16,500000,8,40,150,1,0.505486
strong_O3_v1,16,500000,8,40,150,2,0.470776
strong_O3_v1,16,500000,8,40,150,3,0.481023
strong_O3_v1,16,500000,8,40,150,4,0.447385
strong_O3_v1,16,500000,8,40,150,5,0.455689
