experiment,threads,N,K,D,iters,run,elapsed
strong_O3_v4_bind,1,1000000,8,40,150,1,7.079464
strong_O3_v4_bind,1,1000000,8,40,150,2,6.980255
strong_O3_v4_bind,1,1000000,8,40,150,3,6.623076
strong_O3_v4_bind,1,1000000,8,40,150,4,7.027657
strong_O3_v4_bind,1,1000000,8,40,150,5,6.927034
strong_O3_v4_bind,2,1000000,8,40,150,1,3.766028
strong_O3_v4_bind,2,1000000,8,40,150,2,3.726650
strong_O3_v4_bind,2,1000000,8,40,150,3,3.956814
strong_O3_v4_bind,2,1000000,8,40,150,4,3.897090
strong_O3_v4_bind,2,1000000,8,40,150,5,3.759634
strong_O3_v4_bind,4,1000000,8,40,150,1,2.146613
strong_O3_v4_bind,4,1000000,8,40,150,2,2.252608
strong_O3_v4_bind,4,1000000,8,40,150,3,2.218392
strong_O3_v4_bind,4,1000000,8,40,150,4,2.230736
strong_O3_v4_bind,4,1000000,8,40,150,5,2.465279
strong_O3_v4_bind,6,1000000,8,40,150,1,1.772065
strong_O3_v4_bind,6,1000000,8,40,150,2,1.844822
strong_O3_v4_bind,6,1000000,8,40,150,3,1.819911
strong_O3_v4_bind,6,1000000,8,40,150,4,1.867533
strong_O3_v4_bind,6,1000000,8,40,150,5,1.785596
strong_O3_v4_bind,8,1000000,8,40,150,1,1.598756
strong_O3_v4_bind,8,1000000,8,40,150,2,1.605056
strong_O3_v4_bind,8,1000000,8,40,150,3,1.537305
strong_O3_v4_bind,8,1000000,8,40,150,4,1.594565
strong_O3_v4_bind,8,1000000,8,40,150,5,1.469204
strong_O3_v4_bind,10,1000000,8,40,150,1,1.332020
strong_O3_v4_bind,10,1000000,8,40,150,2,1.233063
strong_O3_v4_bind,10,1000000,8,40,150,3,1.347450
strong_O3_v4_bind,10,1000000,8,40,150,4,1.427982
strong_O3_v4_bind,10,1000000,8,40,150,5,1.332502
strong_O3_v4_bind,12,1000000,8,40,150,1,1.032310
strong_O3_v4_bind,12,1000000,8,40,150,2,1.193183
strong_O3_v4_bind,12,1000000,8,40,150,3,1.121215
strong_O3_v4_bind,12,1000000,8,40,150,4,1.121813
strong_O3_v4_bind,12,1000000,8,40,150,5,1.124318
strong_O3_v4_bind,14,1000000,8,40,150,1,0.966082
strong_O3_v4_bind,14,1000000,8,40,150,2,0.947553
strong_O3_v4_bind,14,1000000,8,40,150,3,0.989860
strong_O3_v4_bind,14,1000000,8,40,150,4,0.965028
strong_O3_v4_bind,14,1000000,8,40,150,5,0.969394
strong_O3_v4_bind,16,1000000,8,40,150,1,1.041173
strong_O3_v4_bind,16,1000000,8,40,150,2,1.018941
strong_O3_v4_bind,16,1000000,8,40,150,3,1.084512
strong_O3_v4_bind,16,1000000,8,40,150,4,0.985581
strong_O3_v4_bind,16,1000000,8,40,150,5,0.985553
