experiment,threads,N,K,D,iters,run,elapsed
strong_enanced_v4_enanced,1,500000,8,40,150,1,56.971505
strong_enanced_v4_enanced,1,500000,8,40,150,2,57.336405
strong_enanced_v4_enanced,1,500000,8,40,150,3,57.252875
strong_enanced_v4_enanced,1,500000,8,40,150,4,57.124877
strong_enanced_v4_enanced,1,500000,8,40,150,5,57.426432
strong_enanced_v4_enanced,2,500000,8,40,150,1,29.571727
strong_enanced_v4_enanced,2,500000,8,40,150,2,29.729827
strong_enanced_v4_enanced,2,500000,8,40,150,3,29.635152
strong_enanced_v4_enanced,2,500000,8,40,150,4,29.667660
strong_enanced_v4_enanced,2,500000,8,40,150,5,29.643830
strong_enanced_v4_enanced,4,500000,8,40,150,1,15.782679
strong_enanced_v4_enanced,4,500000,8,40,150,2,15.848204
strong_enanced_v4_enanced,4,500000,8,40,150,3,15.694777
strong_enanced_v4_enanced,4,500000,8,40,150,4,15.720138
strong_enanced_v4_enanced,4,500000,8,40,150,5,15.725380
strong_enanced_v4_enanced,6,500000,8,40,150,1,11.157349
strong_enanced_v4_enanced,6,500000,8,40,150,2,11.170543
strong_enanced_v4_enanced,6,500000,8,40,150,3,10.989697
strong_enanced_v4_enanced,6,500000,8,40,150,4,11.012246
strong_enanced_v4_enanced,6,500000,8,40,150,5,11.104793
strong_enanced_v4_enanced,8,500000,8,40,150,1,8.743696
strong_enanced_v4_enanced,8,500000,8,40,150,2,8.837272
strong_enanced_v4_enanced,8,500000,8,40,150,3,8.762955
strong_enanced_v4_enanced,8,500000,8,40,150,4,8.801022
strong_enanced_v4_enanced,8,500000,8,40,150,5,8.768588
strong_enanced_v4_enanced,10,500000,8,40,150,1,7.312016
strong_enanced_v4_enanced,10,500000,8,40,150,2,7.324474
strong_enanced_v4_enanced,10,500000,8,40,150,3,7.277490
strong_enanced_v4_enanced,10,500000,8,40,150,4,7.341500
strong_enanced_v4_enanced,10,500000,8,40,150,5,7.197057
strong_enanced_v4_enanced,12,500000,8,40,150,1,6.208700
strong_enanced_v4_enanced,12,500000,8,40,150,2,6.124498
strong_enanced_v4_enanced,12,500000,8,40,150,3,6.218326
strong_enanced_v4_enanced,12,500000,8,40,150,4,6.278658
strong_enanced_v4_enanced,12,500000,8,40,150,5,6.154324
strong_enanced_v4_enanced,14,500000,8,40,150,1,5.545765
strong_enanced_v4_enanced,14,500000,8,40,150,2,5.395046
strong_enanced_v4_enanced,14,500000,8,40,150,3,5.442762
strong_enanced_v4_enanced,14,500000,8,40,150,4,5.505448
strong_enanced_v4_enanced,14,500000,8,40,150,5,5.389122
strong_enanced_v4_enanced,16,500000,8,40,150,1,5.566943
strong_enanced_v4_enanced,16,500000,8,40,150,2,5.233431
strong_enanced_v4_enanced,16,500000,8,40,150,3,6.106010
strong_enanced_v4_enanced,16,500000,8,40,150,4,5.443578
strong_enanced_v4_enanced,16,500000,8,40,150,5,6.040280
