experiment,threads,N,K,D,iters,run,elapsed
strong_noSimd_v1,1,500000,8,40,150,1,61.276410
strong_noSimd_v1,1,500000,8,40,150,2,61.236036
strong_noSimd_v1,1,500000,8,40,150,3,61.164791
strong_noSimd_v1,1,500000,8,40,150,4,61.243455
strong_noSimd_v1,1,500000,8,40,150,5,61.161792
strong_noSimd_v1,2,500000,8,40,150,1,31.757377
strong_noSimd_v1,2,500000,8,40,150,2,31.903765
strong_noSimd_v1,2,500000,8,40,150,3,31.906079
strong_noSimd_v1,2,500000,8,40,150,4,32.034769
strong_noSimd_v1,2,500000,8,40,150,5,31.718717
strong_noSimd_v1,4,500000,8,40,150,1,16.833775
strong_noSimd_v1,4,500000,8,40,150,2,16.876147
strong_noSimd_v1,4,500000,8,40,150,3,16.925073
strong_noSimd_v1,4,500000,8,40,150,4,16.797955
strong_noSimd_v1,4,500000,8,40,150,5,16.915512
strong_noSimd_v1,6,500000,8,40,150,1,11.999081
strong_noSimd_v1,6,500000,8,40,150,2,12.380921
strong_noSimd_v1,6,500000,8,40,150,3,11.943336
strong_noSimd_v1,6,500000,8,40,150,4,12.052549
strong_noSimd_v1,6,500000,8,40,150,5,12.065862
strong_noSimd_v1,8,500000,8,40,150,1,9.574750
strong_noSimd_v1,8,500000,8,40,150,2,9.592161
strong_noSimd_v1,8,500000,8,40,150,3,9.578323
strong_noSimd_v1,8,500000,8,40,150,4,9.603860
strong_noSimd_v1,8,500000,8,40,150,5,9.559997
strong_noSimd_v1,10,500000,8,40,150,1,7.950818
strong_noSimd_v1,10,500000,8,40,150,2,7.959015
strong_noSimd_v1,10,500000,8,40,150,3,8.157776
strong_noSimd_v1,10,500000,8,40,150,4,7.954088
strong_noSimd_v1,10,500000,8,40,150,5,7.947386
strong_noSimd_v1,12,500000,8,40,150,1,6.721966
strong_noSimd_v1,12,500000,8,40,150,2,6.745795
strong_noSimd_v1,12,500000,8,40,150,3,6.744901
strong_noSimd_v1,12,500000,8,40,150,4,6.726488
strong_noSimd_v1,12,500000,8,40,150,5,6.737336
strong_noSimd_v1,14,500000,8,40,150,1,5.866547
strong_noSimd_v1,14,500000,8,40,150,2,5.867241
strong_noSimd_v1,14,500000,8,40,150,3,5.855376
strong_noSimd_v1,14,500000,8,40,150,4,5.874863
strong_noSimd_v1,14,500000,8,40,150,5,5.853703
strong_noSimd_v1,16,500000,8,40,150,1,5.594759
strong_noSimd_v1,16,500000,8,40,150,2,5.499081
strong_noSimd_v1,16,500000,8,40,150,3,5.516456
strong_noSimd_v1,16,500000,8,40,150,4,5.625238
strong_noSimd_v1,16,500000,8,40,150,5,5.577860
