experiment,threads,N,K,D,iters,run,elapsed
strong_omp,1,500000,8,40,150,1,67.270
strong_omp,1,500000,8,40,150,2,67.340
strong_omp,1,500000,8,40,150,3,67.268
strong_omp,1,500000,8,40,150,4,67.324
strong_omp,1,500000,8,40,150,5,67.256
strong_omp,2,500000,8,40,150,1,35.088
strong_omp,2,500000,8,40,150,2,35.184
strong_omp,2,500000,8,40,150,3,35.064
strong_omp,2,500000,8,40,150,4,35.189
strong_omp,2,500000,8,40,150,5,35.010
strong_omp,4,500000,8,40,150,1,19.066
strong_omp,4,500000,8,40,150,2,18.898
strong_omp,4,500000,8,40,150,3,19.011
strong_omp,4,500000,8,40,150,4,18.820
strong_omp,4,500000,8,40,150,5,19.300
strong_omp,6,500000,8,40,150,1,13.445
strong_omp,6,500000,8,40,150,2,13.252
strong_omp,6,500000,8,40,150,3,13.345
strong_omp,6,500000,8,40,150,4,13.148
strong_omp,6,500000,8,40,150,5,13.293
strong_omp,8,500000,8,40,150,1,10.568
strong_omp,8,500000,8,40,150,2,10.563
strong_omp,8,500000,8,40,150,3,10.618
strong_omp,8,500000,8,40,150,4,10.519
strong_omp,8,500000,8,40,150,5,10.575
strong_omp,10,500000,8,40,150,1,8.666
strong_omp,10,500000,8,40,150,2,8.718
strong_omp,10,500000,8,40,150,3,8.672
strong_omp,10,500000,8,40,150,4,8.690
strong_omp,10,500000,8,40,150,5,8.671
strong_omp,12,500000,8,40,150,1,7.405
strong_omp,12,500000,8,40,150,2,7.402
strong_omp,12,500000,8,40,150,3,7.390
strong_omp,12,500000,8,40,150,4,7.376
strong_omp,12,500000,8,40,150,5,7.368
strong_omp,14,500000,8,40,150,1,6.464
strong_omp,14,500000,8,40,150,2,6.405
strong_omp,14,500000,8,40,150,3,6.428
strong_omp,14,500000,8,40,150,4,6.440
strong_omp,14,500000,8,40,150,5,6.432
strong_omp,16,500000,8,40,150,1,6.196
strong_omp,16,500000,8,40,150,2,6.192
strong_omp,16,500000,8,40,150,3,6.163
strong_omp,16,500000,8,40,150,4,6.064
strong_omp,16,500000,8,40,150,5,6.324
