experiment,threads,N,K,D,iters,run,elapsed
strong_omp,1,1000000,8,40,150,1,109.065553
strong_omp,1,1000000,8,40,150,2,108.868511
strong_omp,1,1000000,8,40,150,3,109.509023
strong_omp,1,1000000,8,40,150,4,109.639597
strong_omp,1,1000000,8,40,150,5,109.368124
strong_omp,2,1000000,8,40,150,1,56.368754
strong_omp,2,1000000,8,40,150,2,56.408797
strong_omp,2,1000000,8,40,150,3,56.276774
strong_omp,2,1000000,8,40,150,4,56.329085
strong_omp,2,1000000,8,40,150,5,56.251430
strong_omp,4,1000000,8,40,150,1,29.495126
strong_omp,4,1000000,8,40,150,2,29.840045
strong_omp,4,1000000,8,40,150,3,29.659422
strong_omp,4,1000000,8,40,150,4,29.471538
strong_omp,4,1000000,8,40,150,5,29.606570
strong_omp,6,1000000,8,40,150,1,20.984514
strong_omp,6,1000000,8,40,150,2,20.706176
strong_omp,6,1000000,8,40,150,3,20.807275
strong_omp,6,1000000,8,40,150,4,20.683276
strong_omp,6,1000000,8,40,150,5,20.779902
strong_omp,8,1000000,8,40,150,1,16.369604
strong_omp,8,1000000,8,40,150,2,16.207131
strong_omp,8,1000000,8,40,150,3,16.613247
strong_omp,8,1000000,8,40,150,4,16.420997
strong_omp,8,1000000,8,40,150,5,16.567153
strong_omp,10,1000000,8,40,150,1,13.888808
strong_omp,10,1000000,8,40,150,2,13.579177
strong_omp,10,1000000,8,40,150,3,13.832458
strong_omp,10,1000000,8,40,150,4,13.723769
strong_omp,10,1000000,8,40,150,5,13.851497
strong_omp,12,1000000,8,40,150,1,11.943348
strong_omp,12,1000000,8,40,150,2,11.984446
strong_omp,12,1000000,8,40,150,3,11.927913
strong_omp,12,1000000,8,40,150,4,11.931071
strong_omp,12,1000000,8,40,150,5,12.018438
strong_omp,14,1000000,8,40,150,1,10.530612
strong_omp,14,1000000,8,40,150,2,10.540075
strong_omp,14,1000000,8,40,150,3,10.398469
strong_omp,14,1000000,8,40,150,4,10.468723
strong_omp,14,1000000,8,40,150,5,10.465659
strong_omp,16,1000000,8,40,150,1,9.963019
strong_omp,16,1000000,8,40,150,2,10.004074
strong_omp,16,1000000,8,40,150,3,10.046163
strong_omp,16,1000000,8,40,150,4,9.883629
strong_omp,16,1000000,8,40,150,5,9.859644
