experiment,threads,N,K,D,iters,run,elapsed
strong_omp,1,500000,8,40,150,1,57.122370
strong_omp,1,500000,8,40,150,2,57.236183
strong_omp,1,500000,8,40,150,3,56.934130
strong_omp,1,500000,8,40,150,4,57.127841
strong_omp,1,500000,8,40,150,5,57.076299
strong_omp,2,500000,8,40,150,1,29.564970
strong_omp,2,500000,8,40,150,2,29.584358
strong_omp,2,500000,8,40,150,3,29.509487
strong_omp,2,500000,8,40,150,4,29.608245
strong_omp,2,500000,8,40,150,5,29.483022
strong_omp,4,500000,8,40,150,1,15.670218
strong_omp,4,500000,8,40,150,2,15.750501
strong_omp,4,500000,8,40,150,3,15.691617
strong_omp,4,500000,8,40,150,4,15.575706
strong_omp,4,500000,8,40,150,5,15.661123
strong_omp,6,500000,8,40,150,1,11.046462
strong_omp,6,500000,8,40,150,2,11.325531
strong_omp,6,500000,8,40,150,3,11.054522
strong_omp,6,500000,8,40,150,4,11.102412
strong_omp,6,500000,8,40,150,5,11.081099
strong_omp,8,500000,8,40,150,1,8.760745
strong_omp,8,500000,8,40,150,2,8.674713
strong_omp,8,500000,8,40,150,3,8.720281
strong_omp,8,500000,8,40,150,4,8.668449
strong_omp,8,500000,8,40,150,5,8.730187
strong_omp,10,500000,8,40,150,1,7.229116
strong_omp,10,500000,8,40,150,2,7.189735
strong_omp,10,500000,8,40,150,3,7.217639
strong_omp,10,500000,8,40,150,4,7.165391
strong_omp,10,500000,8,40,150,5,7.233580
strong_omp,12,500000,8,40,150,1,6.029262
strong_omp,12,500000,8,40,150,2,6.091477
strong_omp,12,500000,8,40,150,3,6.092885
strong_omp,12,500000,8,40,150,4,6.093299
strong_omp,12,500000,8,40,150,5,6.108845
strong_omp,14,500000,8,40,150,1,5.252570
strong_omp,14,500000,8,40,150,2,5.319849
strong_omp,14,500000,8,40,150,3,5.331311
strong_omp,14,500000,8,40,150,4,5.387977
strong_omp,14,500000,8,40,150,5,5.258988
strong_omp,16,500000,8,40,150,1,5.140692
strong_omp,16,500000,8,40,150,2,5.138770
strong_omp,16,500000,8,40,150,3,5.194961
strong_omp,16,500000,8,40,150,4,5.201848
strong_omp,16,500000,8,40,150,5,5.099590
