experiment,threads,N,K,D,iters,run,elapsed
strong_omp,1,1000000,8,40,150,1,109.098390
strong_omp,1,1000000,8,40,150,2,109.178589
strong_omp,1,1000000,8,40,150,3,109.789300
strong_omp,1,1000000,8,40,150,4,110.010436
strong_omp,1,1000000,8,40,150,5,110.677830
strong_omp,2,1000000,8,40,150,1,57.723525
strong_omp,2,1000000,8,40,150,2,56.981797
strong_omp,2,1000000,8,40,150,3,56.528383
strong_omp,2,1000000,8,40,150,4,57.222828
strong_omp,2,1000000,8,40,150,5,56.374606
strong_omp,4,1000000,8,40,150,1,30.144939
strong_omp,4,1000000,8,40,150,2,29.501823
strong_omp,4,1000000,8,40,150,3,29.601092
strong_omp,4,1000000,8,40,150,4,29.480409
strong_omp,4,1000000,8,40,150,5,29.570691
strong_omp,6,1000000,8,40,150,1,20.843745
strong_omp,6,1000000,8,40,150,2,21.055142
strong_omp,6,1000000,8,40,150,3,20.996703
strong_omp,6,1000000,8,40,150,4,20.783033
strong_omp,6,1000000,8,40,150,5,20.761263
strong_omp,8,1000000,8,40,150,1,16.732030
strong_omp,8,1000000,8,40,150,2,16.715427
strong_omp,8,1000000,8,40,150,3,16.949681
strong_omp,8,1000000,8,40,150,4,16.569198
strong_omp,8,1000000,8,40,150,5,16.628455
strong_omp,10,1000000,8,40,150,1,13.690359
strong_omp,10,1000000,8,40,150,2,13.970635
strong_omp,10,1000000,8,40,150,3,13.864890
strong_omp,10,1000000,8,40,150,4,13.844641
strong_omp,10,1000000,8,40,150,5,13.831178
strong_omp,12,1000000,8,40,150,1,11.842114
strong_omp,12,1000000,8,40,150,2,11.963409
strong_omp,12,1000000,8,40,150,3,11.890206
strong_omp,12,1000000,8,40,150,4,11.683750
strong_omp,12,1000000,8,40,150,5,11.832802
strong_omp,14,1000000,8,40,150,1,10.408306
strong_omp,14,1000000,8,40,150,2,10.274863
strong_omp,14,1000000,8,40,150,3,10.686427
strong_omp,14,1000000,8,40,150,4,10.473732
strong_omp,14,1000000,8,40,150,5,10.454923
strong_omp,16,1000000,8,40,150,1,9.812343
strong_omp,16,1000000,8,40,150,2,10.115996
strong_omp,16,1000000,8,40,150,3,9.943353
strong_omp,16,1000000,8,40,150,4,10.342682
strong_omp,16,1000000,8,40,150,5,9.918043
