experiment,threads,N,K,D,iters,run,elapsed
strong_placesT_v4_bind,1,500000,8,40,150,1,56.527277
strong_placesT_v4_bind,1,500000,8,40,150,2,56.068551
strong_placesT_v4_bind,1,500000,8,40,150,3,56.027937
strong_placesT_v4_bind,1,500000,8,40,150,4,56.164848
strong_placesT_v4_bind,1,500000,8,40,150,5,56.112095
strong_placesT_v4_bind,2,500000,8,40,150,1,29.143290
strong_placesT_v4_bind,2,500000,8,40,150,2,29.212788
strong_placesT_v4_bind,2,500000,8,40,150,3,29.090783
strong_placesT_v4_bind,2,500000,8,40,150,4,29.192946
strong_placesT_v4_bind,2,500000,8,40,150,5,29.347407
strong_placesT_v4_bind,4,500000,8,40,150,1,15.489838
strong_placesT_v4_bind,4,500000,8,40,150,2,15.343714
strong_placesT_v4_bind,4,500000,8,40,150,3,15.423152
strong_placesT_v4_bind,4,500000,8,40,150,4,15.395701
strong_placesT_v4_bind,4,500000,8,40,150,5,15.365003
strong_placesT_v4_bind,6,500000,8,40,150,1,11.105738
strong_placesT_v4_bind,6,500000,8,40,150,2,11.091366
strong_placesT_v4_bind,6,500000,8,40,150,3,10.973469
strong_placesT_v4_bind,6,500000,8,40,150,4,11.111192
strong_placesT_v4_bind,6,500000,8,40,150,5,11.181285
strong_placesT_v4_bind,8,500000,8,40,150,1,8.774977
strong_placesT_v4_bind,8,500000,8,40,150,2,8.762610
strong_placesT_v4_bind,8,500000,8,40,150,3,8.740697
strong_placesT_v4_bind,8,500000,8,40,150,4,8.738125
strong_placesT_v4_bind,8,500000,8,40,150,5,8.745101
strong_placesT_v4_bind,10,500000,8,40,150,1,7.227428
strong_placesT_v4_bind,10,500000,8,40,150,2,7.271422
strong_placesT_v4_bind,10,500000,8,40,150,3,7.286138
strong_placesT_v4_bind,10,500000,8,40,150,4,7.240912
strong_placesT_v4_bind,10,500000,8,40,150,5,7.247302
strong_placesT_v4_bind,12,500000,8,40,150,1,6.333917
strong_placesT_v4_bind,12,500000,8,40,150,2,6.193836
strong_placesT_v4_bind,12,500000,8,40,150,3,6.161590
strong_placesT_v4_bind,12,500000,8,40,150,4,6.394231
strong_placesT_v4_bind,12,500000,8,40,150,5,6.170942
strong_placesT_v4_bind,14,500000,8,40,150,1,5.407632
strong_placesT_v4_bind,14,500000,8,40,150,2,5.397945
strong_placesT_v4_bind,14,500000,8,40,150,3,5.395148
strong_placesT_v4_bind,14,500000,8,40,150,4,5.390403
strong_placesT_v4_bind,14,500000,8,40,150,5,5.565137
strong_placesT_v4_bind,16,500000,8,40,150,1,5.202057
strong_placesT_v4_bind,16,500000,8,40,150,2,5.279880
strong_placesT_v4_bind,16,500000,8,40,150,3,5.279546
strong_placesT_v4_bind,16,500000,8,40,150,4,5.296465
strong_placesT_v4_bind,16,500000,8,40,150,5,5.623096
