experiment,threads,N,K,D,iters,run,elapsed
weak_omp,1,100000,8,40,150,1,11.183108
weak_omp,1,100000,8,40,150,2,11.171138
weak_omp,1,100000,8,40,150,3,11.151704
weak_omp,1,100000,8,40,150,4,11.152345
weak_omp,1,100000,8,40,150,5,11.103063
weak_omp,2,200000,8,40,150,1,11.735011
weak_omp,2,200000,8,40,150,2,12.000747
weak_omp,2,200000,8,40,150,3,11.616925
weak_omp,2,200000,8,40,150,4,11.653202
weak_omp,2,200000,8,40,150,5,11.751282
weak_omp,4,400000,8,40,150,1,12.299308
weak_omp,4,400000,8,40,150,2,12.151205
weak_omp,4,400000,8,40,150,3,12.310539
weak_omp,4,400000,8,40,150,4,12.170916
weak_omp,4,400000,8,40,150,5,12.237314
weak_omp,6,600000,8,40,150,1,13.057779
weak_omp,6,600000,8,40,150,2,12.878631
weak_omp,6,600000,8,40,150,3,12.974315
weak_omp,6,600000,8,40,150,4,12.858575
weak_omp,6,600000,8,40,150,5,12.923853
weak_omp,8,800000,8,40,150,1,13.580622
weak_omp,8,800000,8,40,150,2,13.567505
weak_omp,8,800000,8,40,150,3,13.762557
weak_omp,8,800000,8,40,150,4,13.755863
weak_omp,8,800000,8,40,150,5,13.676581
weak_omp,10,1000000,8,40,150,1,13.954162
weak_omp,10,1000000,8,40,150,2,14.005851
weak_omp,10,1000000,8,40,150,3,13.567954
weak_omp,10,1000000,8,40,150,4,13.684723
weak_omp,10,1000000,8,40,150,5,14.047087
weak_omp,12,1200000,8,40,150,1,14.301937
weak_omp,12,1200000,8,40,150,2,14.239186
weak_omp,12,1200000,8,40,150,3,14.309489
weak_omp,12,1200000,8,40,150,4,14.139342
weak_omp,12,1200000,8,40,150,5,14.199181
weak_omp,14,1400000,8,40,150,1,14.542591
weak_omp,14,1400000,8,40,150,2,14.577941
weak_omp,14,1400000,8,40,150,3,14.597990
weak_omp,14,1400000,8,40,150,4,14.759989
weak_omp,14,1400000,8,40,150,5,14.682142
weak_omp,16,1600000,8,40,150,1,15.998500
weak_omp,16,1600000,8,40,150,2,15.801209
weak_omp,16,1600000,8,40,150,3,16.027340
weak_omp,16,1600000,8,40,150,4,16.002367
weak_omp,16,1600000,8,40,150,5,16.153536
