experiment,N,K,D,cache_level,iters,run,elapsed
cache_omp,32768,16,8,L2,50,1,0.080102
cache_omp,32768,16,8,L2,50,2,0.078248
cache_omp,32768,16,8,L2,50,3,0.080258
cache_omp,32768,16,8,L2,50,4,0.078452
cache_omp,32768,16,8,L2,50,5,0.078336
cache_omp,3000000,16,8,L3,50,1,11.129591
cache_omp,3000000,16,8,L3,50,2,11.033439
cache_omp,3000000,16,8,L3,50,3,11.092648
cache_omp,3000000,16,8,L3,50,4,11.162272
cache_omp,3000000,16,8,L3,50,5,10.982911
cache_omp,10000000,16,8,RAM,50,1,20.753047
cache_omp,10000000,16,8,RAM,50,2,20.748328
cache_omp,10000000,16,8,RAM,50,3,20.908927
cache_omp,10000000,16,8,RAM,50,4,20.766299
cache_omp,10000000,16,8,RAM,50,5,20.734324
