experiment,N,K,D,iters,run,elapsed
cuda_baseline,500000,8,40,150,1,1.778531
cuda_baseline,500000,8,40,150,2,1.777525
cuda_baseline,500000,8,40,150,3,1.798756
cuda_baseline,500000,8,40,150,4,1.816264
cuda_baseline,500000,8,40,150,5,1.808609
cuda_baseline,1000000,8,40,150,1,3.675329
cuda_baseline,1000000,8,40,150,2,3.647506
cuda_baseline,1000000,8,40,150,3,3.681845
cuda_baseline,1000000,8,40,150,4,3.627513
cuda_baseline,1000000,8,40,150,5,3.755840
cuda_baseline,2000000,8,40,150,1,7.115562
cuda_baseline,2000000,8,40,150,2,7.559519
cuda_baseline,2000000,8,40,150,3,7.567364
cuda_baseline,2000000,8,40,150,4,7.482539
cuda_baseline,2000000,8,40,150,5,7.633785
cuda_baseline,4000000,8,40,150,1,15.025806
cuda_baseline,4000000,8,40,150,2,15.588769
cuda_baseline,4000000,8,40,150,3,15.412771
cuda_baseline,4000000,8,40,150,4,15.422847
cuda_baseline,4000000,8,40,150,5,15.304923
cuda_baseline,8000000,8,40,150,1,29.036776
cuda_baseline,8000000,8,40,150,2,28.999022
cuda_baseline,8000000,8,40,150,3,28.933539
cuda_baseline,8000000,8,40,150,4,28.909959
cuda_baseline,8000000,8,40,150,5,29.142010
