experiment,N,K,D,iters,run,elapsed
cuda_v2,500000,8,500,150,1,2.930048
cuda_v2,500000,8,500,150,2,2.928526
cuda_v2,500000,8,500,150,3,2.918893
cuda_v2,500000,8,500,150,4,2.924542
cuda_v2,500000,8,500,150,5,2.930942
cuda_v2,1000000,8,500,150,1,5.491032
cuda_v2,1000000,8,500,150,2,5.471373
cuda_v2,1000000,8,500,150,3,5.466391
cuda_v2,1000000,8,500,150,4,5.487332
cuda_v2,1000000,8,500,150,5,5.471218
cuda_v2,1500000,8,500,150,1,7.730159
cuda_v2,1500000,8,500,150,2,7.757882
cuda_v2,1500000,8,500,150,3,8.016411
cuda_v2,1500000,8,500,150,4,8.020795
cuda_v2,1500000,8,500,150,5,8.068079
