experiment,N,K,D,iters,run,elapsed
cuda_v3,522240,8,40,150,1,0.217062
cuda_v3,522240,8,40,150,2,0.218125
cuda_v3,522240,8,40,150,3,0.221695
cuda_v3,522240,8,40,150,4,0.218699
cuda_v3,522240,8,40,150,5,0.217884
cuda_v3,1044480,8,40,150,1,0.397161
cuda_v3,1044480,8,40,150,2,0.395563
cuda_v3,1044480,8,40,150,3,0.395909
cuda_v3,1044480,8,40,150,4,0.394125
cuda_v3,1044480,8,40,150,5,0.403498
cuda_v3,2088960,8,40,150,1,0.776907
cuda_v3,2088960,8,40,150,2,0.764101
cuda_v3,2088960,8,40,150,3,0.776185
cuda_v3,2088960,8,40,150,4,0.774113
cuda_v3,2088960,8,40,150,5,0.771058
cuda_v3,4177920,8,40,150,1,1.478059
cuda_v3,4177920,8,40,150,2,1.476798
cuda_v3,4177920,8,40,150,3,1.492424
cuda_v3,4177920,8,40,150,4,1.490042
cuda_v3,4177920,8,40,150,5,1.473802
cuda_v3,8355840,8,40,150,1,2.892503
cuda_v3,8355840,8,40,150,2,2.888440
cuda_v3,8355840,8,40,150,3,2.884106
cuda_v3,8355840,8,40,150,4,2.894582
cuda_v3,8355840,8,40,150,5,2.900603
