experiment,N,K,D,iters,run,elapsed
cuda_v4,500000,8,40,150,1,0.271196
cuda_v4,500000,8,40,150,2,0.271223
cuda_v4,500000,8,40,150,3,0.303982
cuda_v4,500000,8,40,150,4,0.279659
cuda_v4,500000,8,40,150,5,0.284294
cuda_v4,1000000,8,40,150,1,0.529911
cuda_v4,1000000,8,40,150,2,0.542278
cuda_v4,1000000,8,40,150,3,0.532294
cuda_v4,1000000,8,40,150,4,0.539639
cuda_v4,1000000,8,40,150,5,0.534015
cuda_v4,2000000,8,40,150,1,1.025400
cuda_v4,2000000,8,40,150,2,1.027333
cuda_v4,2000000,8,40,150,3,1.026480
cuda_v4,2000000,8,40,150,4,1.020107
cuda_v4,2000000,8,40,150,5,1.026548
cuda_v4,4000000,8,40,150,1,2.078487
cuda_v4,4000000,8,40,150,2,2.061272
cuda_v4,4000000,8,40,150,3,2.067043
cuda_v4,4000000,8,40,150,4,2.091120
cuda_v4,4000000,8,40,150,5,2.078119
cuda_v4,8000000,8,40,150,1,3.993507
cuda_v4,8000000,8,40,150,2,3.982167
cuda_v4,8000000,8,40,150,3,3.995234
cuda_v4,8000000,8,40,150,4,3.975543
cuda_v4,8000000,8,40,150,5,3.976539
