experiment,N,K,D,iters,run,elapsed
cuda_baseline,500000,16,8,50,1,0.160761
cuda_baseline,500000,16,8,50,2,0.155508
cuda_baseline,500000,16,8,50,3,0.152959
cuda_baseline,500000,16,8,50,4,0.152022
cuda_baseline,500000,16,8,50,5,0.152491
cuda_baseline,1000000,16,8,50,1,0.439962
cuda_baseline,1000000,16,8,50,2,0.450481
cuda_baseline,1000000,16,8,50,3,0.443976
cuda_baseline,1000000,16,8,50,4,0.446956
cuda_baseline,1000000,16,8,50,5,0.454878
cuda_baseline,2000000,16,8,50,1,0.638697
cuda_baseline,2000000,16,8,50,2,0.660034
cuda_baseline,2000000,16,8,50,3,0.672816
cuda_baseline,2000000,16,8,50,4,0.629433
cuda_baseline,2000000,16,8,50,5,0.682225
cuda_baseline,4000000,16,8,50,1,1.194570
cuda_baseline,4000000,16,8,50,2,1.181142
cuda_baseline,4000000,16,8,50,3,1.167077
cuda_baseline,4000000,16,8,50,4,1.195233
cuda_baseline,4000000,16,8,50,5,1.194835
cuda_baseline,8000000,16,8,50,1,6.183950
cuda_baseline,8000000,16,8,50,2,6.091915
cuda_baseline,8000000,16,8,50,3,6.182653
cuda_baseline,8000000,16,8,50,4,6.196774
cuda_baseline,8000000,16,8,50,5,6.099187
