experiment,N,K,D,iters,run,elapsed
cuda_omp_v4,500000,8,40,150,1,6.195123
cuda_omp_v4,500000,8,40,150,2,5.002608
cuda_omp_v4,500000,8,40,150,3,5.185924
cuda_omp_v4,500000,8,40,150,4,4.996977
cuda_omp_v4,500000,8,40,150,5,5.008356
cuda_omp_v4,1000000,8,40,150,1,9.648010
cuda_omp_v4,1000000,8,40,150,2,9.540253
cuda_omp_v4,1000000,8,40,150,3,9.718381
cuda_omp_v4,1000000,8,40,150,4,9.695563
cuda_omp_v4,1000000,8,40,150,5,9.623962
cuda_omp_v4,2000000,8,40,150,1,19.045564
cuda_omp_v4,2000000,8,40,150,2,19.176616
cuda_omp_v4,2000000,8,40,150,3,19.156244
cuda_omp_v4,2000000,8,40,150,4,19.080347
cuda_omp_v4,2000000,8,40,150,5,19.084872
cuda_omp_v4,4000000,8,40,150,1,38.166798
cuda_omp_v4,4000000,8,40,150,2,38.312620
cuda_omp_v4,4000000,8,40,150,3,38.345417
cuda_omp_v4,4000000,8,40,150,4,38.282073
cuda_omp_v4,4000000,8,40,150,5,39.726180
cuda_omp_v4,8000000,8,40,150,1,76.405470
cuda_omp_v4,8000000,8,40,150,2,75.781852
