experiment,N,K,D,iters,run,elapsed
cuda_omp_v4_o3,500000,8,40,150,1,0.446996
cuda_omp_v4_o3,500000,8,40,150,2,0.497420
cuda_omp_v4_o3,500000,8,40,150,3,0.454719
cuda_omp_v4_o3,500000,8,40,150,4,0.456449
cuda_omp_v4_o3,500000,8,40,150,5,0.472506
cuda_omp_v4_o3,1000000,8,40,150,1,0.904267
cuda_omp_v4_o3,1000000,8,40,150,2,0.944930
cuda_omp_v4_o3,1000000,8,40,150,3,0.977244
cuda_omp_v4_o3,1000000,8,40,150,4,1.032774
cuda_omp_v4_o3,1000000,8,40,150,5,0.966839
cuda_omp_v4_o3,2000000,8,40,150,1,1.766705
cuda_omp_v4_o3,2000000,8,40,150,2,1.824380
cuda_omp_v4_o3,2000000,8,40,150,3,1.802340
cuda_omp_v4_o3,2000000,8,40,150,4,1.846034
cuda_omp_v4_o3,2000000,8,40,150,5,1.796495
cuda_omp_v4_o3,4000000,8,40,150,1,3.551471
cuda_omp_v4_o3,4000000,8,40,150,2,3.488101
cuda_omp_v4_o3,4000000,8,40,150,3,3.668391
cuda_omp_v4_o3,4000000,8,40,150,4,3.763172
cuda_omp_v4_o3,4000000,8,40,150,5,3.641091
cuda_omp_v4_o3,8000000,8,40,150,1,6.971073
cuda_omp_v4_o3,8000000,8,40,150,2,6.728704
cuda_omp_v4_o3,8000000,8,40,150,3,6.783041
cuda_omp_v4_o3,8000000,8,40,150,4,6.775756
cuda_omp_v4_o3,8000000,8,40,150,5,6.690456
