experiment,N,K,D,iters,run,elapsed
cuda_v2,5000000,8,40,150,1,1.763026
cuda_v2,5000000,8,40,150,2,1.736226
cuda_v2,5000000,8,40,150,3,1.719238
cuda_v2,5000000,8,40,150,4,1.731513
cuda_v2,5000000,8,40,150,5,1.733511
cuda_v2,6000000,8,40,150,1,2.256845
cuda_v2,6000000,8,40,150,2,2.152212
cuda_v2,6000000,8,40,150,3,2.240012
cuda_v2,6000000,8,40,150,4,2.161332
cuda_v2,6000000,8,40,150,5,2.179865
cuda_v2,7000000,8,40,150,1,2.534471
cuda_v2,7000000,8,40,150,2,2.534559
cuda_v2,7000000,8,40,150,3,2.511986
cuda_v2,7000000,8,40,150,4,2.512901
cuda_v2,7000000,8,40,150,5,2.576421
cuda_v2,8000000,8,40,150,1,2.734447
cuda_v2,8000000,8,40,150,2,2.710522
cuda_v2,8000000,8,40,150,3,2.750064
