experiment,N,K,D,iters,run,elapsed
cuda_v2_o3,500000,8,40,150,1,0.205575
cuda_v2_o3,500000,8,40,150,2,0.204105
cuda_v2_o3,500000,8,40,150,3,0.205585
cuda_v2_o3,500000,8,40,150,4,0.204495
cuda_v2_o3,500000,8,40,150,5,0.201177
cuda_v2_o3,1000000,8,40,150,1,0.381583
cuda_v2_o3,1000000,8,40,150,2,0.380148
cuda_v2_o3,1000000,8,40,150,3,0.379763
cuda_v2_o3,1000000,8,40,150,4,0.377495
cuda_v2_o3,1000000,8,40,150,5,0.384704
cuda_v2_o3,2000000,8,40,150,1,0.699713
cuda_v2_o3,2000000,8,40,150,2,0.698742
cuda_v2_o3,2000000,8,40,150,3,0.701981
cuda_v2_o3,2000000,8,40,150,4,0.694863
cuda_v2_o3,2000000,8,40,150,5,0.705384
cuda_v2_o3,4000000,8,40,150,1,1.422003
cuda_v2_o3,4000000,8,40,150,2,1.417882
cuda_v2_o3,4000000,8,40,150,3,1.418566
cuda_v2_o3,4000000,8,40,150,4,1.419887
cuda_v2_o3,4000000,8,40,150,5,1.405555
cuda_v2_o3,8000000,8,40,150,1,2.633646
cuda_v2_o3,8000000,8,40,150,2,2.623170
cuda_v2_o3,8000000,8,40,150,3,2.603945
cuda_v2_o3,8000000,8,40,150,4,2.618204
cuda_v2_o3,8000000,8,40,150,5,2.631240
