experiment,threads,N,K,D,iters,run,elapsed
strong_omp,1,2000000,16,8,50,1,22.315369
strong_omp,1,2000000,16,8,50,2,22.291834
strong_omp,1,2000000,16,8,50,3,22.174233
strong_omp,1,2000000,16,8,50,4,22.351273
strong_omp,1,2000000,16,8,50,5,22.176122
strong_omp,2,2000000,16,8,50,1,11.960206
strong_omp,2,2000000,16,8,50,2,11.673164
strong_omp,2,2000000,16,8,50,3,11.717197
strong_omp,2,2000000,16,8,50,4,11.704490
strong_omp,2,2000000,16,8,50,5,11.785394
strong_omp,4,2000000,16,8,50,1,6.363842
strong_omp,4,2000000,16,8,50,2,6.355699
strong_omp,4,2000000,16,8,50,3,6.576829
strong_omp,4,2000000,16,8,50,4,6.321206
strong_omp,4,2000000,16,8,50,5,6.372128
strong_omp,6,2000000,16,8,50,1,4.646412
strong_omp,6,2000000,16,8,50,2,4.591778
strong_omp,6,2000000,16,8,50,3,4.471426
strong_omp,6,2000000,16,8,50,4,4.590773
strong_omp,6,2000000,16,8,50,5,4.614742
strong_omp,8,2000000,16,8,50,1,3.761065
strong_omp,8,2000000,16,8,50,2,3.680730
strong_omp,8,2000000,16,8,50,3,3.671924
strong_omp,8,2000000,16,8,50,4,3.710204
strong_omp,8,2000000,16,8,50,5,3.627936
strong_omp,10,2000000,16,8,50,1,3.019088
strong_omp,10,2000000,16,8,50,2,2.998486
strong_omp,10,2000000,16,8,50,3,3.022685
strong_omp,10,2000000,16,8,50,4,3.004914
strong_omp,10,2000000,16,8,50,5,3.019469
strong_omp,12,2000000,16,8,50,1,2.491827
strong_omp,12,2000000,16,8,50,2,2.514152
strong_omp,12,2000000,16,8,50,3,2.511939
strong_omp,12,2000000,16,8,50,4,2.507319
strong_omp,12,2000000,16,8,50,5,2.527169
strong_omp,14,2000000,16,8,50,1,2.261725
strong_omp,14,2000000,16,8,50,2,2.209795
strong_omp,14,2000000,16,8,50,3,2.186462
strong_omp,14,2000000,16,8,50,4,2.199957
strong_omp,14,2000000,16,8,50,5,2.217952
strong_omp,16,2000000,16,8,50,1,2.231828
strong_omp,16,2000000,16,8,50,2,2.229224
strong_omp,16,2000000,16,8,50,3,2.253364
strong_omp,16,2000000,16,8,50,4,2.190599
strong_omp,16,2000000,16,8,50,5,2.210406
