experiment,threads,N,K,D,iters,run,elapsed
strong_omp,1,2000000,8,16,150,1,237.969432
strong_omp,1,2000000,8,16,150,2,237.652919
strong_omp,1,2000000,8,16,150,3,237.975005
strong_omp,1,2000000,8,16,150,4,238.339494
strong_omp,1,2000000,8,16,150,5,237.888079
strong_omp,2,2000000,8,16,150,1,124.215859
strong_omp,2,2000000,8,16,150,2,123.972496
strong_omp,2,2000000,8,16,150,3,123.537979
strong_omp,2,2000000,8,16,150,4,124.364378
strong_omp,2,2000000,8,16,150,5,123.995074
strong_omp,4,2000000,8,16,150,1,66.585111
strong_omp,4,2000000,8,16,150,2,66.351725
strong_omp,4,2000000,8,16,150,3,66.043991
strong_omp,4,2000000,8,16,150,4,66.279766
strong_omp,4,2000000,8,16,150,5,66.233670
strong_omp,6,2000000,8,16,150,1,46.300781
strong_omp,6,2000000,8,16,150,2,46.250653
strong_omp,6,2000000,8,16,150,3,46.330639
strong_omp,6,2000000,8,16,150,4,46.516813
strong_omp,6,2000000,8,16,150,5,46.279097
strong_omp,8,2000000,8,16,150,1,36.701711
strong_omp,8,2000000,8,16,150,2,36.825456
strong_omp,8,2000000,8,16,150,3,36.711958
strong_omp,8,2000000,8,16,150,4,36.858276
strong_omp,8,2000000,8,16,150,5,36.546517
strong_omp,10,2000000,8,16,150,1,30.425094
strong_omp,10,2000000,8,16,150,2,30.445157
strong_omp,10,2000000,8,16,150,3,30.608894
strong_omp,10,2000000,8,16,150,4,30.472244
strong_omp,10,2000000,8,16,150,5,30.479786
strong_omp,12,2000000,8,16,150,1,25.968637
strong_omp,12,2000000,8,16,150,2,25.973558
strong_omp,12,2000000,8,16,150,3,26.044001
strong_omp,12,2000000,8,16,150,4,26.006798
strong_omp,12,2000000,8,16,150,5,26.003300
strong_omp,14,2000000,8,16,150,1,22.794523
strong_omp,14,2000000,8,16,150,2,22.714920
strong_omp,14,2000000,8,16,150,3,22.734918
strong_omp,14,2000000,8,16,150,4,22.770965
strong_omp,14,2000000,8,16,150,5,22.669524
strong_omp,16,2000000,8,16,150,1,21.398399
strong_omp,16,2000000,8,16,150,2,21.235898
strong_omp,16,2000000,8,16,150,3,21.343959
strong_omp,16,2000000,8,16,150,4,21.144114
strong_omp,16,2000000,8,16,150,5,21.362594
