experiment,threads,N,K,D,iters,run,elapsed
strong_O3,1,5000000,8,16,150,1,18.693536
strong_O3,1,5000000,8,16,150,2,18.915160
strong_O3,1,5000000,8,16,150,3,18.753181
strong_O3,1,5000000,8,16,150,4,18.746050
strong_O3,1,5000000,8,16,150,5,18.784464
strong_O3,2,5000000,8,16,150,1,9.807871
strong_O3,2,5000000,8,16,150,2,9.747480
strong_O3,2,5000000,8,16,150,3,9.655478
strong_O3,2,5000000,8,16,150,4,9.795350
strong_O3,2,5000000,8,16,150,5,9.879686
strong_O3,4,5000000,8,16,150,1,5.773928
strong_O3,4,5000000,8,16,150,2,5.799178
strong_O3,4,5000000,8,16,150,3,5.823091
strong_O3,4,5000000,8,16,150,4,5.973853
strong_O3,4,5000000,8,16,150,5,5.824423
strong_O3,6,5000000,8,16,150,1,4.934107
strong_O3,6,5000000,8,16,150,2,4.965809
strong_O3,6,5000000,8,16,150,3,5.046362
strong_O3,6,5000000,8,16,150,4,4.896345
strong_O3,6,5000000,8,16,150,5,4.982394
strong_O3,8,5000000,8,16,150,1,4.586052
strong_O3,8,5000000,8,16,150,2,4.640117
strong_O3,8,5000000,8,16,150,3,4.561759
strong_O3,8,5000000,8,16,150,4,4.540404
strong_O3,8,5000000,8,16,150,5,4.500888
strong_O3,10,5000000,8,16,150,1,3.976730
strong_O3,10,5000000,8,16,150,2,3.983794
strong_O3,10,5000000,8,16,150,3,3.977434
strong_O3,10,5000000,8,16,150,4,4.016578
strong_O3,10,5000000,8,16,150,5,3.994942
strong_O3,12,5000000,8,16,150,1,3.541938
strong_O3,12,5000000,8,16,150,2,3.544052
strong_O3,12,5000000,8,16,150,3,3.565241
strong_O3,12,5000000,8,16,150,4,3.550055
strong_O3,12,5000000,8,16,150,5,3.553115
strong_O3,14,5000000,8,16,150,1,3.243439
strong_O3,14,5000000,8,16,150,2,3.224571
strong_O3,14,5000000,8,16,150,3,3.233416
strong_O3,14,5000000,8,16,150,4,3.221595
strong_O3,14,5000000,8,16,150,5,3.217677
strong_O3,16,5000000,8,16,150,1,3.361334
strong_O3,16,5000000,8,16,150,2,3.355169
strong_O3,16,5000000,8,16,150,3,3.320226
strong_O3,16,5000000,8,16,150,4,3.346991
strong_O3,16,5000000,8,16,150,5,3.302997
