experiment,threads,N,K,D,iters,run,elapsed
weak_omp,1,100000,8,16,150,1,4.846020
weak_omp,1,100000,8,16,150,2,4.842582
weak_omp,1,100000,8,16,150,3,4.838864
weak_omp,1,100000,8,16,150,4,4.833975
weak_omp,1,100000,8,16,150,5,4.912680
weak_omp,2,200000,8,16,150,1,5.113705
weak_omp,2,200000,8,16,150,2,5.057070
weak_omp,2,200000,8,16,150,3,5.079621
weak_omp,2,200000,8,16,150,4,5.110352
weak_omp,2,200000,8,16,150,5,5.034116
weak_omp,4,400000,8,16,150,1,5.575090
weak_omp,4,400000,8,16,150,2,5.568699
weak_omp,4,400000,8,16,150,3,5.603553
weak_omp,4,400000,8,16,150,4,5.587645
weak_omp,4,400000,8,16,150,5,5.598228
weak_omp,6,600000,8,16,150,1,6.132405
weak_omp,6,600000,8,16,150,2,6.134019
weak_omp,6,600000,8,16,150,3,6.080193
weak_omp,6,600000,8,16,150,4,6.162842
weak_omp,6,600000,8,16,150,5,6.088947
weak_omp,8,800000,8,16,150,1,6.716229
weak_omp,8,800000,8,16,150,2,6.728907
weak_omp,8,800000,8,16,150,3,6.714766
weak_omp,8,800000,8,16,150,4,6.704821
weak_omp,8,800000,8,16,150,5,6.656093
weak_omp,10,1000000,8,16,150,1,7.041210
weak_omp,10,1000000,8,16,150,2,7.034678
weak_omp,10,1000000,8,16,150,3,7.044983
weak_omp,10,1000000,8,16,150,4,7.059080
weak_omp,10,1000000,8,16,150,5,7.038067
weak_omp,12,1200000,8,16,150,1,7.125406
weak_omp,12,1200000,8,16,150,2,7.102035
weak_omp,12,1200000,8,16,150,3,7.104327
weak_omp,12,1200000,8,16,150,4,7.127501
weak_omp,12,1200000,8,16,150,5,7.237174
weak_omp,14,1400000,8,16,150,1,7.508293
weak_omp,14,1400000,8,16,150,2,7.430849
weak_omp,14,1400000,8,16,150,3,7.366560
weak_omp,14,1400000,8,16,150,4,7.443180
weak_omp,14,1400000,8,16,150,5,7.435689
weak_omp,16,1600000,8,16,150,1,8.288758
weak_omp,16,1600000,8,16,150,2,8.024551
weak_omp,16,1600000,8,16,150,3,8.216692
weak_omp,16,1600000,8,16,150,4,8.045072
weak_omp,16,1600000,8,16,150,5,8.447735
