experiment,threads,N,K,D,iters,run,elapsed
strong_omp,1,500000,8,16,150,1,26.302
strong_omp,1,500000,8,16,150,2,26.310
strong_omp,1,500000,8,16,150,3,26.294
strong_omp,1,500000,8,16,150,4,26.235
strong_omp,1,500000,8,16,150,5,26.272
strong_omp,2,500000,8,16,150,1,13.832
strong_omp,2,500000,8,16,150,2,13.830
strong_omp,2,500000,8,16,150,3,13.973
strong_omp,2,500000,8,16,150,4,13.904
strong_omp,2,500000,8,16,150,5,13.888
strong_omp,4,500000,8,16,150,1,7.904
strong_omp,4,500000,8,16,150,2,7.906
strong_omp,4,500000,8,16,150,3,7.599
strong_omp,4,500000,8,16,150,4,7.769
strong_omp,4,500000,8,16,150,5,7.805
strong_omp,6,500000,8,16,150,1,5.647
strong_omp,6,500000,8,16,150,2,5.660
strong_omp,6,500000,8,16,150,3,5.619
strong_omp,6,500000,8,16,150,4,5.632
strong_omp,6,500000,8,16,150,5,5.751
strong_omp,8,500000,8,16,150,1,4.792
strong_omp,8,500000,8,16,150,2,4.674
strong_omp,8,500000,8,16,150,3,4.792
strong_omp,8,500000,8,16,150,4,4.692
strong_omp,8,500000,8,16,150,5,4.673
strong_omp,10,500000,8,16,150,1,3.885
strong_omp,10,500000,8,16,150,2,3.978
strong_omp,10,500000,8,16,150,3,3.984
strong_omp,10,500000,8,16,150,4,3.870
strong_omp,10,500000,8,16,150,5,3.900
strong_omp,12,500000,8,16,150,1,3.314
strong_omp,12,500000,8,16,150,2,3.313
strong_omp,12,500000,8,16,150,3,3.331
strong_omp,12,500000,8,16,150,4,3.319
strong_omp,12,500000,8,16,150,5,3.309
strong_omp,14,500000,8,16,150,1,2.891
strong_omp,14,500000,8,16,150,2,2.890
strong_omp,14,500000,8,16,150,3,2.914
strong_omp,14,500000,8,16,150,4,2.888
strong_omp,14,500000,8,16,150,5,2.904
strong_omp,16,500000,8,16,150,1,2.815
strong_omp,16,500000,8,16,150,2,2.853
strong_omp,16,500000,8,16,150,3,2.933
strong_omp,16,500000,8,16,150,4,2.878
strong_omp,16,500000,8,16,150,5,2.832
