experiment,threads,N,K,D,iters,run,elapsed
strong_O3,1,1000000,8,40,150,1,6.886591
strong_O3,1,1000000,8,40,150,2,6.919702
strong_O3,1,1000000,8,40,150,3,6.915613
strong_O3,1,1000000,8,40,150,4,6.866875
strong_O3,1,1000000,8,40,150,5,6.926314
strong_O3,2,1000000,8,40,150,1,3.707214
strong_O3,2,1000000,8,40,150,2,3.665662
strong_O3,2,1000000,8,40,150,3,3.655653
strong_O3,2,1000000,8,40,150,4,3.646951
strong_O3,2,1000000,8,40,150,5,3.780123
strong_O3,4,1000000,8,40,150,1,2.180590
strong_O3,4,1000000,8,40,150,2,2.157153
strong_O3,4,1000000,8,40,150,3,2.157977
strong_O3,4,1000000,8,40,150,4,2.208108
strong_O3,4,1000000,8,40,150,5,2.141569
strong_O3,6,1000000,8,40,150,1,1.886909
strong_O3,6,1000000,8,40,150,2,1.911718
strong_O3,6,1000000,8,40,150,3,1.821473
strong_O3,6,1000000,8,40,150,4,1.852878
strong_O3,6,1000000,8,40,150,5,1.813911
strong_O3,8,1000000,8,40,150,1,1.685377
strong_O3,8,1000000,8,40,150,2,1.695335
strong_O3,8,1000000,8,40,150,3,1.657829
strong_O3,8,1000000,8,40,150,4,1.650594
strong_O3,8,1000000,8,40,150,5,1.663547
strong_O3,10,1000000,8,40,150,1,1.420441
strong_O3,10,1000000,8,40,150,2,1.403612
strong_O3,10,1000000,8,40,150,3,1.425225
strong_O3,10,1000000,8,40,150,4,1.407821
strong_O3,10,1000000,8,40,150,5,1.425899
strong_O3,12,1000000,8,40,150,1,1.207348
strong_O3,12,1000000,8,40,150,2,1.224061
strong_O3,12,1000000,8,40,150,3,1.208816
strong_O3,12,1000000,8,40,150,4,1.229835
strong_O3,12,1000000,8,40,150,5,1.224627
strong_O3,14,1000000,8,40,150,1,1.090309
strong_O3,14,1000000,8,40,150,2,1.128633
strong_O3,14,1000000,8,40,150,3,1.097322
strong_O3,14,1000000,8,40,150,4,1.099020
strong_O3,14,1000000,8,40,150,5,1.100863
strong_O3,16,1000000,8,40,150,1,1.216029
strong_O3,16,1000000,8,40,150,2,1.194731
strong_O3,16,1000000,8,40,150,3,1.214876
strong_O3,16,1000000,8,40,150,4,1.099663
strong_O3,16,1000000,8,40,150,5,1.598233
