experiment,threads,N,K,D,iters,run,elapsed
strong_omp,1,500000,8,40,150,1,61.711244
strong_omp,1,500000,8,40,150,2,61.560157
strong_omp,1,500000,8,40,150,3,61.680005
strong_omp,1,500000,8,40,150,4,61.711411
strong_omp,1,500000,8,40,150,5,61.709025
strong_omp,2,500000,8,40,150,1,32.270947
strong_omp,2,500000,8,40,150,2,32.260732
strong_omp,2,500000,8,40,150,3,32.288892
strong_omp,2,500000,8,40,150,4,32.211579
strong_omp,2,500000,8,40,150,5,32.078277
strong_omp,4,500000,8,40,150,1,16.853389
strong_omp,4,500000,8,40,150,2,16.934884
strong_omp,4,500000,8,40,150,3,17.029793
strong_omp,4,500000,8,40,150,4,17.039100
strong_omp,4,500000,8,40,150,5,16.992306
strong_omp,6,500000,8,40,150,1,12.247974
strong_omp,6,500000,8,40,150,2,12.232965
strong_omp,6,500000,8,40,150,3,12.215804
strong_omp,6,500000,8,40,150,4,12.231688
strong_omp,6,500000,8,40,150,5,12.170592
strong_omp,8,500000,8,40,150,1,9.754997
strong_omp,8,500000,8,40,150,2,9.626843
strong_omp,8,500000,8,40,150,3,9.708065
strong_omp,8,500000,8,40,150,4,10.018812
strong_omp,8,500000,8,40,150,5,9.733969
strong_omp,10,500000,8,40,150,1,7.967652
strong_omp,10,500000,8,40,150,2,8.010683
strong_omp,10,500000,8,40,150,3,7.965918
strong_omp,10,500000,8,40,150,4,7.990927
strong_omp,10,500000,8,40,150,5,7.934944
strong_omp,12,500000,8,40,150,1,6.753768
strong_omp,12,500000,8,40,150,2,6.892767
strong_omp,12,500000,8,40,150,3,6.745605
strong_omp,12,500000,8,40,150,4,6.746902
strong_omp,12,500000,8,40,150,5,6.740147
strong_omp,14,500000,8,40,150,1,5.864067
strong_omp,14,500000,8,40,150,2,6.002696
strong_omp,14,500000,8,40,150,3,5.873294
strong_omp,14,500000,8,40,150,4,5.850537
strong_omp,14,500000,8,40,150,5,5.844347
strong_omp,16,500000,8,40,150,1,5.625837
strong_omp,16,500000,8,40,150,2,5.627289
strong_omp,16,500000,8,40,150,3,5.634292
strong_omp,16,500000,8,40,150,4,5.660885
strong_omp,16,500000,8,40,150,5,5.599799
