experiment,threads,N,K,D,iters,run,elapsed
weak_omp,1,100000,8,40,150,1,13.298
weak_omp,1,100000,8,40,150,2,13.323
weak_omp,1,100000,8,40,150,3,13.239
weak_omp,1,100000,8,40,150,4,13.329
weak_omp,1,100000,8,40,150,5,13.236
weak_omp,2,200000,8,40,150,1,13.966
weak_omp,2,200000,8,40,150,2,13.901
weak_omp,2,200000,8,40,150,3,13.975
weak_omp,2,200000,8,40,150,4,13.707
weak_omp,2,200000,8,40,150,5,13.995
weak_omp,4,400000,8,40,150,1,14.955
weak_omp,4,400000,8,40,150,2,14.945
weak_omp,4,400000,8,40,150,3,14.927
weak_omp,4,400000,8,40,150,4,14.865
weak_omp,4,400000,8,40,150,5,14.851
weak_omp,6,600000,8,40,150,1,15.633
weak_omp,6,600000,8,40,150,2,15.617
weak_omp,6,600000,8,40,150,3,15.639
weak_omp,6,600000,8,40,150,4,15.865
weak_omp,6,600000,8,40,150,5,15.748
weak_omp,8,800000,8,40,150,1,16.673
weak_omp,8,800000,8,40,150,2,16.455
weak_omp,8,800000,8,40,150,3,16.422
weak_omp,8,800000,8,40,150,4,16.461
weak_omp,8,800000,8,40,150,5,16.504
weak_omp,10,1000000,8,40,150,1,16.920
weak_omp,10,1000000,8,40,150,2,16.931
weak_omp,10,1000000,8,40,150,3,16.872
weak_omp,10,1000000,8,40,150,4,16.927
weak_omp,10,1000000,8,40,150,5,16.869
weak_omp,12,1200000,8,40,150,1,17.249
weak_omp,12,1200000,8,40,150,2,17.289
weak_omp,12,1200000,8,40,150,3,17.286
weak_omp,12,1200000,8,40,150,4,17.271
weak_omp,12,1200000,8,40,150,5,17.374
weak_omp,14,1400000,8,40,150,1,17.685
weak_omp,14,1400000,8,40,150,2,17.726
weak_omp,14,1400000,8,40,150,3,17.679
weak_omp,14,1400000,8,40,150,4,17.672
weak_omp,14,1400000,8,40,150,5,17.707
weak_omp,16,1600000,8,40,150,1,19.122
weak_omp,16,1600000,8,40,150,2,19.040
weak_omp,16,1600000,8,40,150,3,19.136
weak_omp,16,1600000,8,40,150,4,19.210
weak_omp,16,1600000,8,40,150,5,19.097
