experiment,threads,N,K,D,iters,run,elapsed
weak_omp,1,250000,16,8,50,1,5.533433
weak_omp,1,250000,16,8,50,2,5.566324
weak_omp,1,250000,16,8,50,3,5.598504
weak_omp,1,250000,16,8,50,4,5.544991
weak_omp,1,250000,16,8,50,5,5.597902
weak_omp,2,500000,16,8,50,1,3.257982
weak_omp,2,500000,16,8,50,2,3.191253
weak_omp,2,500000,16,8,50,3,3.255572
weak_omp,2,500000,16,8,50,4,3.269140
weak_omp,2,500000,16,8,50,5,3.234363
weak_omp,4,1000000,16,8,50,1,4.498301
weak_omp,4,1000000,16,8,50,2,4.540069
weak_omp,4,1000000,16,8,50,3,4.464439
weak_omp,4,1000000,16,8,50,4,4.556342
weak_omp,4,1000000,16,8,50,5,4.488826
weak_omp,6,1500000,16,8,50,1,3.731222
weak_omp,6,1500000,16,8,50,2,3.683902
weak_omp,6,1500000,16,8,50,3,3.784909
weak_omp,6,1500000,16,8,50,4,3.658972
weak_omp,6,1500000,16,8,50,5,3.675810
weak_omp,8,2000000,16,8,50,1,3.743000
weak_omp,8,2000000,16,8,50,2,3.706050
weak_omp,8,2000000,16,8,50,3,3.730571
weak_omp,8,2000000,16,8,50,4,3.715822
weak_omp,8,2000000,16,8,50,5,3.672176
weak_omp,10,2500000,16,8,50,1,6.089218
weak_omp,10,2500000,16,8,50,2,6.071662
weak_omp,10,2500000,16,8,50,3,6.081315
weak_omp,10,2500000,16,8,50,4,6.092216
weak_omp,10,2500000,16,8,50,5,6.078570
weak_omp,12,3000000,16,8,50,1,7.752343
weak_omp,12,3000000,16,8,50,2,7.738547
weak_omp,12,3000000,16,8,50,3,7.757100
weak_omp,12,3000000,16,8,50,4,7.757754
weak_omp,12,3000000,16,8,50,5,7.801590
weak_omp,14,3500000,16,8,50,1,4.557923
weak_omp,14,3500000,16,8,50,2,4.512056
weak_omp,14,3500000,16,8,50,3,4.517027
weak_omp,14,3500000,16,8,50,4,4.496033
weak_omp,14,3500000,16,8,50,5,4.496987
weak_omp,16,4000000,16,8,50,1,3.684907
weak_omp,16,4000000,16,8,50,2,3.776214
weak_omp,16,4000000,16,8,50,3,3.671960
weak_omp,16,4000000,16,8,50,4,3.681877
weak_omp,16,4000000,16,8,50,5,3.664856
